municipio.id,municipio.codigo,municipio.nombre,municipio.provincia_id,municipio.uuid
99,21,TCHINJENJE,10,c962b1e2-ec30-4a77-ba55-16896c6d330f
100,01,KUITO,11,92242690-93ed-41bc-a232-9d22c38882e7
101,03,CUNHINGA (VOUGA),11,ae4df29a-e719-4639-a16a-1b12e7254f30
102,05,CHINGUAR,11,e506f472-1e05-4cad-ac49-ce2ff9182bfd
103,07,ANDULO,11,77476c47-1539-4fb3-a5c4-aade92a43ba7
104,09,N´HAREA,11,83b5d14d-db33-46b5-913d-85f24e5f23ea
105,11,CAMAPUPA,11,90864c3b-896a-41de-af7e-00d74af3cef1
106,13,CUEMBA,11,04f6fd19-3660-40d1-94df-fd7ad2c1b70d
107,15,CHITEMBO,11,ebb019e8-16bc-45d7-90ea-8b51ec30d808
108,17,CATABOLA (EX NOVA SINTRA),11,b79fd7c8-07de-4e53-a06d-b61f450d05de
109,01,LUENA,12,27460039-999e-4832-a9df-536100c18e3c
110,03,KAMANONGUE,12,215369c1-f326-42f3-b001-ed14e662c8bb
111,05,LÉUA,12,29dcbda6-14e7-4cdc-8fd0-39ff2543798e
112,07,LUACANO,12,0e1ba21e-0640-4ed8-8a2d-d41932fd5bee
113,09,CAMEIA,12,c3d28892-779d-4268-a305-7ed891996bb9
114,11,BUDAS-LUMBALA-NGUIMBO,12,c38ff7c7-8c4b-4d41-a5b6-0e23fdb15b39
115,13,LUCHAZES,12,e29eeeb5-167c-4b8e-b6bc-f5a584ed1ada
116,15,ALTO ZAMBEZE,12,c8c8ed28-33e1-48fd-88a9-f8e38458af30
117,17,LUAN,12,9b3aa696-2756-4f6b-b7bd-69719a12a8c4
118,01,MENONGUE,16,0f8ba3a6-0176-4ffc-91a5-28b982616ad4
119,03,KUITO CUANAVALE,16,68740770-afd5-457b-95c9-6c0ceea25038
120,05,CUANGAR,16,3b96e57f-5236-4d3d-8b32-0399782ef84e
121,07,RIVUNGO,16,92a2b1b8-6a5e-4faf-b741-6f27a8c95789
122,09,MAVINGA,16,c4b64559-3df0-4d29-a05a-729d0ba3fb01
123,11,CUCHI,16,edc30950-f725-4227-a732-6e30a3a4469a
124,13,DIRICO,16,4a3262ee-a6e4-480f-8016-df46571f6de4
125,15,NANCOVA,16,ba865892-33ba-438d-bc4c-88c65daf66be
126,17,CALAI,16,15d08f25-7a96-4d7c-b50f-52fd68b2b2b7
127,01,NAMIBE,14,1f6c3368-cc53-4625-9e4e-44e9bf7b2a03
128,03,TÓMBWA(EX PORTO ALEXANDRE),14,f55750a1-cb23-4fb4-bb8f-7608a02467d3
129,05,VIREI,14,1ec94a42-b2c0-41f2-b107-32f898686b5d
130,07,BIBALA,14,dfe0688b-f5d6-4525-8bda-df47a9f22a54
131,09,KAMUCUIO,14,f33c6f4e-a7e3-4442-8739-e44c12157649
132,01,LUBANGO,13,1050c8ae-d489-4f12-9127-c39e1b7bbe8b
133,03,CACULA,13,4386fc88-5a59-4c61-99b3-d8584be8d6e5
134,05,CHIBIA,13,0ef95b82-ca04-4359-b41a-49915a05e7c2
135,07,CACONDA,13,1d135527-b4eb-498a-b0b7-76f81f1eb544
136,09,CALUQUEMBE,13,70ad9052-442d-4dcb-bb1c-c01c8949cc0f
137,11,QUILENGUES,13,0a729f80-6ae6-46bf-a727-74277ecca577
138,13,CUVANGO,13,9ae29dd5-26af-44f5-9d23-ff56fe61a53b
139,15,QUINPUNGO,13,fe87cf33-d5b5-490f-a7ba-f61dea7a2e3b
140,17,MATALA,13,6c495423-3576-4942-bc50-9dd389aa7a63
141,19,CHICOMBA,13,4f0d6d3b-2896-47f7-b230-a38eba6c9901
142,21,JAMBA,13,87305656-28b6-4eb0-b90c-1dbb0114a9f9
143,23,CHIPINDO,13,2bb55ce6-4830-4519-a954-3fb58aaa795a
144,25,GAMBOS(EX CHIAGE),13,f294e241-f920-4c09-a3d6-bff53af3aa4c
145,27,HUMPATA,13,4ae1816d-3156-410f-a6be-5575550ffe62
146,01,KWANHAMA,15,7f96b985-5a70-4289-8165-88d545a3b92b
147,03,OMBADJA (EX CUAMATO),15,c59ce01e-25b6-4446-b927-0eda846c2f43
148,05,KUVELAI,15,5773f538-8927-40ae-9e9e-aba0a4dc15a3
149,07,KUROCA (EX ONCOCUA),15,6c177ebb-3592-4b80-9810-a89745395969
150,09,NAMACUNDE,15,9cfd136d-616e-42f4-8a0e-24c6144ce493
151,11,KAHAMA,15,7ea950ad-2d38-4bce-8e17-93a08f740c97
152,01,SAURIMO,8,b58b6af4-c635-4f94-99b5-fb51a79a7b08
153,03,MUCONDA,8,2898d922-7959-419a-b945-33bff2a219ba
154,05,DALA,8,ff01f534-01e6-4694-a416-44ed58092064
155,07,CACOLO,8,16de9c07-b8cf-4b36-a162-bf408515ca76
156,01,DANDE (CAXITO),2,c0b8c1ca-b070-4a8f-8184-baee7cfb7f9a
157,07,AMBRIZ,2,73bdefd5-6264-483a-be16-b3aff3759b2e
158,09,NAMBUANGONGO,2,0572c906-df52-43c4-a8c0-44b3c0d66798
159,11,BULA-ATUMBA,2,b4e78e72-7914-475a-b897-45e21ae084e3
160,13,DEMBOS-QUIBAXE,2,2a208210-69cb-4a98-9b9f-e8a6e5d297bd
161,15,PANGO-ALUNQUEM,2,860f090c-d8e6-4c39-8835-0a8a6ed83ac9
162,99,OUTRA,19,d6d6ad5e-1dcd-4218-b548-8372aae07e49
