comuna.id,comuna.codigo,comuna.nombre,comuna.municipio_id,comuna.uuid
143,01,SAMBA CAJÚ,42,ad824954-3acd-4d16-8d49-775e28ccef9d
144,02,SAMBA LUCALA,42,0d90b23e-8d28-4ec4-adeb-77e6dbde13b4
145,01,QUILOMBO DOS DEMBOS,43,0dbf0815-47ca-4779-bef3-e8ca445934f8
146,02,CAMAME,43,a0e0f561-addc-448b-aaeb-76b62d5ff8ed
147,03,CAVUNGA,43,7080d274-6af7-4dba-a8e3-3676a348d0d9
148,01,SUMBE,44,9066f22f-cf66-48d5-a4a0-8d2811a59658
149,02,GUNGO,44,f9df5e7b-e2f8-499b-afb1-97c993be8ca4
150,03,NGANGULA,44,6e723fd4-d3f0-44a2-ba4b-b7bd5647845a
151,04,KICOMBO,44,bcd19549-82a3-483a-9343-604e3b143d6f
152,01,GABELA,45,3fbe2903-0a62-43c0-a9ba-607bb62374f6
153,02,ASSANGO,45,8c4c0322-3537-47e5-94c2-8743e53eb911
154,01,QUILENDA,46,633aeea6-55ff-4bf1-8fe1-b0e4042b1094
155,02,KIRIMBO,46,1684bed2-4a95-49f3-b608-7c194b3e4ee6
156,01,PORTO AMBOIM,47,452b6d9f-e166-4a7f-9f8c-e09680c6651d
157,02,KAPOLO,47,21350335-698a-4579-bf26-004ae3d5e5d2
158,01,CALULO,48,a58198ef-cb3f-4236-ac74-590516e97801
159,02,MUNENGA,48,a3d183b0-6621-4525-82cc-77ef4675b8e1
160,03,KABUTA,48,cf3bb1cd-9ccf-40c7-ac72-b326aef5352a
161,04,KISSONGO,48,fc46a63e-cbb8-4802-98b9-57f30b4afcca
162,01,KIBALA,49,bc523dfa-3522-49ed-9c82-167812e1f1a3
163,02,NDALA KACHIBO,49,6ec01919-dc98-4278-b01c-d46219d29706
164,03,KARIANGO,49,0413e133-a8cd-4047-81ae-512a5bfbaeef
165,04,LONHE,49,f17238bd-c526-4e9d-8dcd-e065dde53d97
166,01,MUSSENDE,50,dfefefd2-d3fe-49e0-92d2-d2989556a4a3
167,02,KIENHA,50,f5791bb5-0208-4352-bec0-41fd80706de5
168,03,S. LUCAS,50,73a05de5-226c-4cd2-8c14-5d8197aceb0a
169,01,UKU-SELES,51,a558cb10-653e-471f-b998-fead5dd9e899
170,02,AMBOIVA,51,92d30258-df05-49a9-b6f2-245cdfbdd26f
171,03,BOTERA (CATANDA),51,39b157b9-4d49-4bbb-a591-8823f06ebdfa
172,01,CONDA,52,dd18cc28-433d-45f7-bcb8-8c5a4ba58baa
173,02,CUNJO,52,9bf2ee9d-2b49-4ef9-8860-630684ac15fd
174,01,CASSONGUE,53,34ce676c-6b11-48d9-866d-132a33da15a7
175,02,DUMBI,53,959afeea-d66c-443b-af1a-34382b7d8865
176,03,PAMBANGALA,53,82cb91ec-fb81-4c42-a395-0acf6c3bf594
177,04,ATOMÉ,53,c07e34d1-f883-4127-bd95-b9f014179a8a
178,01,CELA (EX WAKU-KUNGO),54,80dfe7fb-d459-4d84-ba00-18c3fb2ea302
179,02,SANGA,54,ec6149b9-83a3-4e7d-adb3-010b0e40fe3c
180,03,KISSANGA KUNGO,54,c9f0dc7f-870c-4b74-8b8e-8f215a3b66f6
181,01,EBO,55,e5482a5a-f9f8-4c25-95bd-d13d78c91012
182,02,CONDÉ,55,175ba251-457d-4910-a982-75f9224dc328
